HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	VOLTS	DROP	DIFF	DIST	{DYNPARAM} Visibility1	MAX	MIN
'7106D07	Fault_Currents	_Fault Currents	OCR_D19/30.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1385	169
'7106D0C	Fault_Currents	_Fault Currents	OCR_D19-3/.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1278	170
'7106D11	Fault_Currents	_Fault Currents	OCR_D/181.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1718	172
'7106D16	Fault_Currents	_Fault Currents	OCR_D18/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1504	172
'7106D1B	Fault_Currents	_Fault Currents	span_8153	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	739	153
'7106D20	Fault_Currents	_Fault Currents	OCR_D15-28/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1425	169
'7106D25	Fault_Currents	_Fault Currents	OCR_D15-3/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1425	169
'7106D2A	Fault_Currents	_Fault Currents	OCR_D15-36/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1206	163
'7106D34	Fault_Currents	_Fault Currents	OCR_D15/37.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1198	163
'7106D39	Fault_Currents	_Fault Currents	OCR_D15/52.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	738	154
'7106D3E	Fault_Currents	_Fault Currents	span_47284	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	489	134
'7106D43	Fault_Currents	_Fault Currents	OCR_D6/200.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1067	163
'7106D48	Fault_Currents	_Fault Currents	span_46718	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	612	154
'7106D52	Fault_Currents	_Fault Currents	span_14833	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1288	167
'7106D57	Fault_Currents	_Fault Currents	OCR_G13/45.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	512	142
'7106D5C	Fault_Currents	_Fault Currents	OCR_G13-9/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	552	144
'7106D61	Fault_Currents	_Fault Currents	OCR_G13/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	717	155
'7106D66	Fault_Currents	_Fault Currents	OCR_G15/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	683	154
'7106D6B	Fault_Currents	_Fault Currents	span_45546	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	789	151
'7106D70	Fault_Currents	_Fault Currents	OCR_G/107.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	921	156
'7106D75	Fault_Currents	_Fault Currents	OCR_D33/55	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	766	155
'7106D7A	Fault_Currents	_Fault Currents	span_47312	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	621	147
'7106D7F	Fault_Currents	_Fault Currents	OCR_D6-19/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1072	163
'7106D84	Fault_Currents	_Fault Currents	span_15001	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1707	169
'7106D8E	Fault_Currents	_Fault Currents	span_12692	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	946	160
'7106D98	Fault_Currents	_Fault Currents	span_14837	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	385	130
'7106D9D	Fault_Currents	_Fault Currents	OCR_G10/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1031	164
'7106DA2	Fault_Currents	_Fault Currents	span_15439	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	562	144
'7106DA7	Fault_Currents	_Fault Currents	OCR_D46/3.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	977	162
'7106DAC	Fault_Currents	_Fault Currents	OCR_D/496.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	999	163
'7106DB6	Fault_Currents	_Fault Currents	OCR_D454/.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	529	147
'7106DBB	Fault_Currents	_Fault Currents	OCR_D/450.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	671	146
'7106DC0	Fault_Currents	_Fault Currents	OCR_D44/3.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	463	142
'7106DC5	Fault_Currents	_Fault Currents	span_14233	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	352	130
'7106DCA	Fault_Currents	_Fault Currents	OCR_D6-12/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1222	170
'7106DD4	Fault_Currents	_Fault Currents	OCR_D6/76.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	2167	172
'7106DDE	Fault_Currents	_Fault Currents	OCR_D8A/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	2416	174
'7106DE3	Fault_Currents	_Fault Currents	OCR_G3/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1899	173
'7106DE8	Fault_Currents	_Fault Currents	OCR_G2/0.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	2566	176
'7106DED	Fault_Currents	_Fault Currents	OCR_G6/1	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1372	168
'7106DF2	Fault_Currents	_Fault Currents	OCR_E20-17/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1405	171
